id,site,species_code,year,month,day,plant_field,percent_expansion,size,light,spadd,chl_mg_dm2,notes,updated,error message
7,Tiputini,T95,2014,aug,5,0,15,sap,shade,1,0.10770000,,2015-07-23 15:06:47+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T95"", ""plant_number__iexact"": ""0""}"
11,Tiputini,T95,2014,aug,4,0,0,sap,sun,1,0.13000000,,2015-07-23 15:06:47+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T95"", ""plant_number__iexact"": ""0""}"
57,Tiputini,T33,2013,July,26,510,40,sap,shade,6,0.28000000,,2015-07-23 15:06:47+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T33"", ""plant_number__iexact"": ""510""}"
64,Tiputini,T62,2013,July,27,546,90,sap,int,6,0.29000000,,2015-07-23 15:06:47+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T62"", ""plant_number__iexact"": ""546""}"
75,Tiputini,T33,2013,July,26,374,60,sap,shade,6,0.30000000,,2015-07-23 15:06:47+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T33"", ""plant_number__iexact"": ""374""}"
114,Tiputini,T56,2013,july,13,230,80,sap,sun,8,0.35000000,,2015-07-23 15:06:47+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T56"", ""plant_number__iexact"": ""230""}"
136,Tiputini,T80,2013,july,30,616,60,sap,shade,8,0.37000000,,2015-07-23 15:06:47+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T80"", ""plant_number__iexact"": ""616""}"
208,Tiputini,T35,2013,July,23,469,60,sap,shade,10,0.43000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T35"", ""plant_number__iexact"": ""469""}"
226,Tiputini,T35,2013,July,23,472,50,sap,shade,10,0.44000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T35"", ""plant_number__iexact"": ""472""}"
227,Tiputini,T07,2013,july,30,615,60,sap,shade,10,0.44000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T07"", ""plant_number__iexact"": ""615""}"
247,Tiputini,T07,2013,July,27,553,50,sap,int,11,0.46000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T07"", ""plant_number__iexact"": ""553""}"
248,Tiputini,T71,2013,aug,15,896,80,sap,shade,11,0.46000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T71"", ""plant_number__iexact"": ""896""}"
264,Tiputini,T07,2013,July,27,565,30,sap,int,11,0.47000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T07"", ""plant_number__iexact"": ""565""}"
279,Tiputini,T72,2013,july,6,69,80,sap,shade,12,0.48000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T72"", ""plant_number__iexact"": ""69""}"
280,Tiputini,T65,2013,July,27,552,30,sap,shade,11,0.48000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T65"", ""plant_number__iexact"": ""552""}"
281,Tiputini,T07,2013,july,30,614,30,sap,shade,11,0.48000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T07"", ""plant_number__iexact"": ""614""}"
347,Tiputini,T35,2013,July,20,383,80,sap,shade,13,0.53000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T35"", ""plant_number__iexact"": ""383""}"
361,Tiputini,T63,2013,July,27,547,30,sap,int,13,0.54000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T63"", ""plant_number__iexact"": ""547""}"
376,Tiputini,T07,2013,July,27,561,80,sap,shade,14,0.55000000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T07"", ""plant_number__iexact"": ""561""}"
411,Tiputini,T72,2014,aug,24,438,90,sap,int,14,0.57630000,,2015-07-23 15:06:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T72"", ""plant_number__iexact"": ""438""}"
439,Tiputini,T35,2013,July,23,471,30,sap,shade,15,0.60000000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T35"", ""plant_number__iexact"": ""471""}"
456,Tiputini,T33,2013,July,25,498,40,sap,shade,15,0.61000000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T33"", ""plant_number__iexact"": ""498""}"
459,Tiputini,T20,2014,jul,27,1012,75,sap,shade,15,0.61050000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T20"", ""plant_number__iexact"": ""1012""}"
472,Tiputini,T42,2013,july,3,15,50,sap,sun,16,0.62000000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T42"", ""plant_number__iexact"": ""15""}"
483,Tiputini,T33,2014,aug,9,1265,80,sap,shade,16,0.62760000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T33"", ""plant_number__iexact"": ""1265""}"
488,Tiputini,T67,2013,july,5,51,80,sap,sun,16,0.63000000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T67"", ""plant_number__iexact"": ""51""}"
489,Tiputini,T33,2013,July,25,477,20,sap,shade,16,0.63000000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T33"", ""plant_number__iexact"": ""477""}"
501,Tiputini,T07,2013,July,27,557,90,sap,shade,16,0.64000000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T07"", ""plant_number__iexact"": ""557""}"
516,Tiputini,T67,2014,aug,16,1423,60,sap,shade,16,0.64470000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T67"", ""plant_number__iexact"": ""1423""}"
541,Tiputini,T33,2013,July,26,240,80,sap,shade,17,0.66000000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T33"", ""plant_number__iexact"": ""240""}"
577,Tiputini,T60,2013,July,19,367,60,sap,shade,17,0.68000000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T60"", ""plant_number__iexact"": ""367""}"
593,Tiputini,T59,2014,sep,10,1922,90,sap,shade,18,0.68910000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T59"", ""plant_number__iexact"": ""1922""}"
595,Tiputini,T05,2013,july,31,627,30,sap,int,18,0.69000000,,2015-07-23 15:06:49+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T05"", ""plant_number__iexact"": ""627""}"
