id,year,month,site,plant_field,species_code,basalmm,midmm,apicalmm,color,shape,type,xefnmm,notes1,notes2,updated,error message
9,2013,,Tiputini,256,T22,1.50,,1.50,green brown,circular,cup,1.50,,,2015-07-22 11:14:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T22"", ""plant_number__iexact"": ""256""}"
10,2013,,Tiputini,144,T18,1.10,1.50,1.70,brown,circular,cup,1.43,,,2015-07-22 11:14:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T18"", ""plant_number__iexact"": ""144""}"
12,2013,,Tiputini,362,T10,2.00,1.60,1.40,green,irregular,cup,1.67,,,2015-07-22 11:14:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T10"", ""plant_number__iexact"": ""362""}"
14,2013,,Tiputini,490,T22,2.00,,1.30,green,circular,cup,1.65,,,2015-07-22 11:14:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T22"", ""plant_number__iexact"": ""490""}"
18,2013,,Tiputini,734,T42,1.00,1.10,0.70,green,circular,cup,0.93,,,2015-07-22 11:14:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T42"", ""plant_number__iexact"": ""734""}"
23,2013,,Tiputini,732,T67,3.00,3.40,3.60,brown,irregular,cup,3.33,,,2015-07-22 11:14:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T67"", ""plant_number__iexact"": ""732""}"
27,2013,,Tiputini,362,T10,2.00,1.60,1.40,green,irregular,cup,1.67,,,2015-07-22 11:14:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T10"", ""plant_number__iexact"": ""362""}"
30,2013,,Tiputini,223,T11,3.00,,2.50,green,irregular,cup,2.75,,,2015-07-22 11:14:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T11"", ""plant_number__iexact"": ""223""}"
31,2013,,Tiputini,144,T18,1.10,1.50,1.70,brown,circular,cup,1.43,,,2015-07-22 11:14:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T18"", ""plant_number__iexact"": ""144""}"
46,2013,,Tiputini,734,T42,1.00,1.10,0.70,green,circular,cup,0.93,,,2015-07-22 11:14:48+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T42"", ""plant_number__iexact"": ""734""}"
