id,collectors,site,year,month,species_code,plant_field,lh_field,location,day1,hour1,area1,day2,hour2,age2,area2,day3,hour3,age3,area3,day4,hour4,age4,area4,day5,hour5,age5,area5,final,age1percent,dt2,age2percent,dt3,age3percent,dt4,age4percent,dt5,age5percent,x_dt_d_field,x_exp_percent,spp,notes2,updated,error message
1515,P.D. Coley & T.A. Kursar,Manaus,2005,,M14,14,,,7,9,1,11,11,4,1,,,-11,,,,0,,,,0,,2,0,9,1,,0,,0,,,9,8,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 14}"
1516,P.D. Coley & T.A. Kursar,Manaus,2005,,M14,14,,,7,9,1,11,11,4,2,,,-11,,,,0,,,,0,,2,1,,1,,0,,0,,,,0,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 14}"
1517,P.D. Coley & T.A. Kursar,Manaus,2005,,M14,14,,,7,9,1,11,11,4,2,14,13,3,5,17,11,3,6,,,-17,,7,0,4,0,3,1,,1,,,4,22,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 14}"
1518,P.D. Coley & T.A. Kursar,Manaus,2005,,M14,14,,,3,11,1,7,9,4,2,11,11,4,4,,,-11,,,,0,,4,0,4,1,,1,,0,,,4,21,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 14}"
1519,P.D. Coley & T.A. Kursar,Manaus,2005,,M14,14,,,3,11,2,7,9,4,3,11,11,4,7,,,-11,,,,0,,9,0,4,0,3,1,,0,,,4,21,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 14}"
1520,P.D. Coley & T.A. Kursar,Manaus,2005,,M14,14,,,-1,12,2,3,11,4,3,,,-3,,,,0,,,,0,,8,0,7,0,,0,,0,,,7,10,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 14}"
1521,P.D. Coley & T.A. Kursar,Manaus,2005,,M14,14,,,-1,12,2,3,11,4,3,,,-3,,,,0,,,,0,,8,0,7,0,,0,,0,,,7,10,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 14}"
1522,P.D. Coley & T.A. Kursar,Manaus,2005,,M14,14,,,-1,12,2,3,11,4,2,,,-3,,,,0,,,,0,,6,0,6,0,,0,,0,,,6,12,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 14}"
1523,P.D. Coley & T.A. Kursar,Manaus,2005,,M14,14,,,-1,12,2,3,11,4,2,,,-3,,,,0,,,,0,,6,0,11,0,,0,,0,,,11,7,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 14}"
1524,P.D. Coley & T.A. Kursar,Manaus,2005,,M35,23,,,-1,12,2,2,16,3,6,3,13,1,8,,,-4,,,,0,,9,0,2,1,,1,,0,,,2,36,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 23}"
1525,P.D. Coley & T.A. Kursar,Manaus,2005,,M35,23,,,-1,12,3,2,16,3,9,3,13,1,11,,,-4,,,,0,,18,0,2,0,2,1,,0,,,2,36,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 23}"
1526,P.D. Coley & T.A. Kursar,Manaus,2005,,M35,23,,,-1,12,3,2,16,3,8,3,13,1,12,,,-4,,,,0,,18,0,2,0,2,1,,0,,,2,39,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 23}"
1527,P.D. Coley & T.A. Kursar,Manaus,2005,,M35,23,,,-1,12,3,2,16,3,8,3,13,1,11,,,-4,,,,0,,15,0,2,1,2,1,,0,,,2,38,,,2015-07-22 09:54:45+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 23}"
