id,chem_field,species_code,species_field,extraction_number,plant_field,day,month,year,extraction_method,chemist,notebook_number,extraction_notebook_number,page_number,parent_extractionnum,other_chem_used,box_number,comments,file_names_to_be_linked,file_names_to_be_linked_2,file_location,updated,error message
2541,cLEG74,IngC,INGC,169,4052,0,May,2003,9.0,LJW,0,,0,,LEG136,57,Pre 2007 BCI chemical extractions,INGC LEG 74 & 136.xls,,Files to link folder in Database,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG136""}"
2545,cLEG98,IngQ,INGQ,174,4057,0,May,2003,9.0,LJW,0,,0,,"LEG112, LEG130, LEG134",58,Pre 2007 BCI chemical extractions,INGQ LEGS 98 112 130 134.xls,,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG112""}"
2552,cLEG102,IngF,INGF,182,4065,0,Aug,2003,9.0,LJW,0,,0,,LEG114,53,Pre 2007 BCI chemical extractions,"INGF Legs 102,114,249 fractionation.xls",INGF Legs 102+114 CRUDE.xls,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG114""}"
2553,cLEG108,IngA,INGA,183,4066,0,Aug,2003,9.0,LJW/,0,,0,,LEG117,,,INGA LEGS 108 + 117.xls,,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG117""}"
2560,cLEG120,IngU,INGU,191,4074,0,Dec,2003,9.0,LJW,0,,0,,LEG171,,Pre 2007 BCI chemical extractions,,,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG171""}"
2568,cLEG189,IngU,INGU,204,4077,0,Feb,2004,9.0,JL/M,0,,0,,LEG203,57,Pre 2007 BCI chemical extractions ,INGU LEG 189-203.xls,,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG203""}"
2571,cLEG125,IngG,INGG,207,4080,0,Mar,2003,9.0,JSL,0,,0,,"LEG132 LEG135, LEG139",56,,INGG 125 132 135 139.xls,,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG132 LEG135""}"
2572,cLEG118,IngU,INGU,208,4081,0,Mar,2003,9.0,JSL,0,,0,,"LEG129, LEG141, LEG142, LEG145",57,Pre 2007 BCI chemical extractions,INGU LEG 118-129-141-142-145.xls,,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG129""}"
2573,cLEG163,INGM,INGM,209,4082,0,Feb,2004,9.0,CZ/L,0,,0,,"LEG187, LEG178",55,"MASS SUMMARY NOT AVAILABLE FOR THIS SAMPLE, MAJORITY OF LIPIDS LOST DURING FRACTIONATION PROCESS, LH-20",INGM Leg 163.xls,,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG187""}"
2575,cLEG172,IngP,INGP,211,4084,0,Feb,2004,9.0,SK,0,,0,,LEG187,59,Pre 2007 BCI chemical extractions,INGP LEG 172.xls,,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG187""}"
2576,cLEG172,IngP,INGP,212,4084,0,Mar,2004,9.0,SK,0,,0,,LEG187,59,,INGP Leg 172+187.xls,,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG187""}"
2579,cLEG149,IngS,INGS,215,4088,0,May,2004,9.0,JSL/,0,,0,,"LEG166, LEG170",59,,INGS LEG 149 166 170.xls,,,2015-07-02 13:03:13+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG166""}"
2770,cLEG377,IngV,IngP,485,3990,0,,0,0.0,JSL,0,,0,,"LEG285, LEG293, LEG277",54,"Pre 2007 BCI chemical extractions, a single saponin fraction",,,,2015-07-02 13:03:14+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG285""}"
2771,cLEG178,INGM,IngM,487,4076,0,Jan,2004,9.0,MWH,0,,0,,LEG181,54,Pre 2007 BCI chemical extractions,INGM Leg 178 &181.xls,,,2015-07-02 13:03:14+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG181""}"
8246,cLEG84,IngP,IngP,463,0,0,,0,0.0,JSL,0,0,0,,"LEG94, LEG127, LEG137, LEG84",59,Pre 2007 BCI chemical extractions,INGP LEG 137-127-94-84.xls,,,2016-02-09 14:33:01+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG94""}"
8248,cLEG304,IngP,IngP,465,0,0,,0,0.0,JSL,0,0,0,,LEG325,59,Pre 2007 BCI chemical extractions,,,,2016-02-09 14:33:02+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG325""}"
8251,cLEG197,IngM,IngM,472,0,0,,0,0.0,JSL,0,0,0,,LEG271,55,"Pre 2007 BCI chemical extractions, Just H20 Saponin fraction in box",INGM LEG 197 & 271.xls,,,2016-02-09 14:33:02+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG271""}"
8254,cLEG215,misID_BCI,IngA,475,3714,0,,0,0.0,JSL,0,0,0,,LEG140,53,Pre 2007 BCI chemical extractions,"INGA LEG 140, 215.xls",,,2016-02-09 14:33:02+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG140""}"
8255,cLEG303,IngP,IngP,476,0,0,,0,0.0,JSL,0,0,0,,"LEG333, LEG226, LEG303",54,Pre 2007 BCI chemical extractions,INGP LEG 303-333-226.xls,,,2016-02-09 14:33:02+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG333""}"
8256,cLEG109,IngF,IngF,477,13039,0,,0,0.0,JSL,0,0,0,,"LEG109, LEG124, LEG235",54,"Pre 2007 BCI chemical extractions, one fraction has methyl gallate is drawn on the vial",INGF Legs 109-124-235.xls,,,2016-02-09 14:33:02+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG124""}"
8259,cLEG204,IngP,IngP,481,0,0,,0,0.0,JSL,0,0,0,,"LEG286, LEG251, LEG204",54,Pre 2007 BCI chemical extractions,INGP LEG 286+251+204.xls,,,2016-02-09 14:33:02+00:00,"Chemistry could not be found matching {""chemistry_number__iexact"": ""cLEG286""}"
