id,sample,species_code_sample,rt,mz,pc_id,tic,date_update,error message
1024,DN1399,LA10_1399_2,7.2771,128.0340,LA10_4,444.1966,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1025,DN1399,LA10_1399_2,6.5474,137.0238,LA10_14,2728.8504,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1026,DN1399,LA10_1399_2,15.5407,137.0231,LA10_1,6581.5316,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1027,DN1399,LA10_1399_2,1.2523,163.0388,LA10_32,3591.5735,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1028,DN1399,LA10_1399_2,7.2839,171.1494,LA10_4,1120.2360,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1029,DN1399,LA10_1399_2,1.2542,180.0656,LA10_32,17643.5179,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1030,DN1399,LA10_1399_2,7.2708,197.1290,LA10_4,4836.9377,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1031,DN1399,LA10_1399_2,7.2805,198.1319,LA10_4,529.0520,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1032,DN1399,LA10_1399_2,3.6777,201.1234,LA10_122,657.4612,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1033,DN1399,LA10_1399_2,5.1533,203.0820,LA10_145,2571.4813,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1034,DN1399,LA10_1399_2,7.2708,215.1394,LA10_4,15237.6157,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1035,DN1399,LA10_1399_2,7.2771,216.1422,LA10_4,1530.4428,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1036,DN1399,LA10_1399_2,8.0607,249.1233,LA10_37,17733.6550,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1037,DN1399,LA10_1399_2,8.0624,250.1263,LA10_37,2345.9175,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1038,DN1399,LA10_1399_2,4.5513,265.1185,LA10_154,2930.2828,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1039,DN1399,LA10_1399_2,6.5512,269.0446,LA10_14,5337.3267,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1040,DN1399,LA10_1399_2,15.5484,269.0443,LA10_1,15179.2328,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1041,DN1399,LA10_1399_2,7.6432,269.0440,LA10_90,4160.8931,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1042,DN1399,LA10_1399_2,1.7282,271.0450,LA10_86,736.0671,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1043,DN1399,LA10_1399_2,6.5475,271.0601,LA10_14,4792.2739,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1044,DN1399,LA10_1399_2,15.5387,271.0600,LA10_1,18906.1639,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1045,DN1399,LA10_1399_2,27.4787,275.2004,LA10_156,2621.1697,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1046,DN1399,LA10_1399_2,1.6602,282.0830,LA10_110,1498.2619,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1047,DN1399,LA10_1399_2,20.2145,287.2220,LA10_141,1035.6746,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1048,DN1399,LA10_1399_2,15.5443,289.0710,LA10_1,3211.7205,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1049,DN1399,LA10_1399_2,7.5527,293.1225,LA10_116,3159.9902,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
