id,year,month,day,plant_field,orig_id,species_code,evm,exp_min,exp_max,field_efn,field_ants,ants_efn,ant_collection_field,total_herb,a_herbivore_species_code,a_herbivores,b_herbivore_species_code,b_herbivores,c_herbivore_species_code,c_herbivores,d_herbivore_collection_field,d_herbivores,d_herbivores_total,d_family_field,e_herbivore_collection_field,e_herbivores,e_herbivores_total,e_family_field,f_herbivore_collection_field,f_herbivores,f_herbivores_total,f_family_field,g_herbivore_collection_field,g_herbivores,g_herbivores_total,g_family_field,h_herbivore_collection_field,h_herbivores,h_herbivores_total,h_family_field,i_herbivore_collection_field,i_herbivores,i_herbivores_total,i_family_field,j_herbivore_collection_field,j_herbivores,j_herbivores_total_observe,j_family_field,k_herbivore_collection_field,k_herbivores,k_herbivores_total_observe,k_family_field,l_herbivore_collection_field,l_herbivores,l_herbivores_total_observe,l_family_field,m_herbivore_collection_field,m_herbivores,m_herbivores_total_observe,m_family_field,n_herbivore_collection_field,n_herbivores,n_herbivores_total_observe,n_family_field,o_herbivore_collection_field,o_herbivores,o_herbivores_total_observe,o_family_field,p_herbivore_collection_field,p_herbivores,p_herbivores_total_observe,p_family_field,q_herbivore_collection_field,q_herbivores,q_herbivores_total_observe,q_family_field,r_herbivore_collection_field,r_herbivores,r_herbivores_total_observe,r_family_field,s_herbivore_collection_field,s_herbivores,s_herbivores_total_observe,s_family_field,t_herbivore_collection_field,t_herbivores,t_herbivores_total_observe,t_family_field,u_herbivore_collection_field,u_herbivores,u_herbivores_total_observe,u_family_field,v_herbivore_collection_field,v_herbivores,v_herbivores_total_observe,v_family_field,w_herbivore_collection_field,w_herbivores,w_herbivores_total_observe,w_family_field,x_herbivore_collection_field,x_herbivores,x_herbivores_total_observe,x_family_field,y_herbivore_collection_field,y_herbivores,y_herbivores_total_observe,y_family_field,z_herbivore_collection_field,z_herbivores,z_herbivores_total_observe,z_family_field,aa_herbivore_collection_field,aa_herbivores,aa_herbivores_total_observe,aa_family_field,ab_herbivore_collection_field,ab_herbivores,ab_herbivores_total_observe,ab_family_field,ac_herbivore_collection_field,ac_herbivores,ac_herbivores_total_observe,ac_family_field,ad_herbivore_collection_field,ad_herbivores,ad_herbivores_total_observe,ad_family_field,ae_herbivore_collection_field,ae_herbivores,ae_herbivores_total_observe,ae_family_field,af_herbivor_collection_field,af_herbivores_total_observe,af_family_field,af_herbivores,ag_herbivore_collection_field,ag_herbivores,ag_herbivores_total_observe,ag_family_field,ah_herbivore_collection_field,ah_herbivores,ah_herbivores_total_observe,ah_family_field,notes1,notes2,notes3,notes4,notes5,notes6,notes7,notes8,updated,error message
5504,2011,July,13,537,8,N8,E,,,100,0,0E-8,,1,,0,,0,,,Nh-210 ,1,0,orthoptera,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-09 18:10:27+00:00,"HerbivoreCollection could not be found matching {""collection_number__iexact"": ""Nh-210""}"
15442,2014,jun,13,55,0,TALP,E,75,,0,0,0E-8,,2,,0,,0,,,BCI-h860,1,0,Coreidae,BCI-h861,1,0,Coreidae,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,"feeding on yg leaf
",,,,,,2015-07-10 12:36:03+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h860""}"
15443,2014,jun,13,55,0,TALP,E,75,,0,0,0E-8,,2,,0,,0,,,BCI-h860,1,0,Coreidae,BCI-h861,1,0,Coreidae,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-10-13 10:30:43+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h860""}"
15482,2014,jun,12,94,0,IngF,E,25,,0,0,0E-8,,2,,0,,0,,,BCI-h858,1,0,Coreidae,BCI-h859,1,0,Coreidae,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,"feeding on yg leaf
",,,,,,2015-07-10 12:36:03+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h858""}"
15483,2014,jun,13,94,0,IngF,E,25,,0,0,0E-8,,1,,0,,0,,,BCI-h862,1,0,Coreidae,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,"feeding on yg leaf
",,,,,,2015-07-10 12:36:03+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h862""}"
15484,2014,jun,14,94,0,IngF,E,25,,0,0,0E-8,,1,,0,,0,,,BCI-h863,1,0,Coreidae,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,"feeding on yg leaf
",,,,,,2015-07-10 12:36:03+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h863""}"
17889,2014,jun,10,8584,0,IngS,M,mat,,0,0,0E-8,,2,,0,,0,,,BCI-h855,1,0,Hemiptera,BCI-h856,1,0,Hemiptera,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,DNA,,"On young stems, feeding, mating""

P.D. Coley & T.A. Kursar,BCI,2014,jun,12,8587,laurina,IngF,,Visitors SW corner,25,adult,sun,,,,,,,,BCI-h857,1,,Coreidae,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,8587,8587,""7,25,2014",,,,,,2015-07-10 12:36:24+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h855""}"
17890,2014,jun,10,8584,0,IngS,M,mat,,0,0,0E-8,,2,,0,,0,,,BCI-h855,1,0,Hemiptera,BCI-h856,1,0,Hemiptera,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,"On young stems, but not clear if they were feeding, mating",,,,,,,,2015-10-13 10:30:47+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h855""}"
18021,2012,jan,7,9057,0,IngR,E,5,,20,11,0.55000000,,3,,0,,0,,,BCI-h515,1,0,64,BCI-h516,1,0,1,BCI-h599,1,0,1,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-10-13 10:30:48+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h599""}"
18023,2012,jan,12,9059,0,IngR,E,30,,30,28,0.93333333,,1,,0,,0,,,BCI-h599,1,0,1,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-10-13 10:30:48+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h599""}"
