id,site,year,month,day,plant_field,species_code,age,size,light,inches,area_cm2,dw_g,dw_area_g_cm2,drying_method,updated,error message
1619,Nouragues,2012,0,23,0,N5,mat,sapling,0,0.00000,9.030000,0.03980,0.00440644,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N5"", ""plant_number__iexact"": ""0""}"
1620,Nouragues,2012,0,7,0,N5,mat,sapling,0,0.00000,11.740000,0.04770,0.00406237,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N5"", ""plant_number__iexact"": ""0""}"
1621,Nouragues,2012,0,8,0,N5,mat,sapling,0,0.00000,12.520000,0.05730,0.00457810,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N5"", ""plant_number__iexact"": ""0""}"
1622,Nouragues,2012,0,23,0,N5,mat,sapling,0,0.00000,13.610000,0.05100,0.00374645,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N5"", ""plant_number__iexact"": ""0""}"
1623,Nouragues,2012,0,19,0,N5,mat,sapling,0,0.00000,14.120000,0.05860,0.00415129,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N5"", ""plant_number__iexact"": ""0""}"
1624,Nouragues,2012,0,18,0,N5,mat,sapling,0,0.00000,19.000000,0.07190,0.00378422,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N5"", ""plant_number__iexact"": ""0""}"
1625,Nouragues,2012,0,31,0,N11,mat,sapling,0,0.00000,11.710000,0.06340,0.00541434,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N11"", ""plant_number__iexact"": ""0""}"
1626,Nouragues,2012,0,29,0,N11,mat,sapling,0,0.00000,13.160000,0.04110,0.00312280,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N11"", ""plant_number__iexact"": ""0""}"
1627,Nouragues,2012,0,19,0,N11,mat,sapling,0,0.00000,13.520000,0.04830,0.00357352,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N11"", ""plant_number__iexact"": ""0""}"
1628,Nouragues,2012,0,12,0,N15,mat,sapling,0,0.00000,15.030000,0.08510,0.00566117,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N15"", ""plant_number__iexact"": ""0""}"
1629,Nouragues,2012,0,24,0,N15,mat,sapling,0,0.00000,15.290000,0.06610,0.00432300,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N15"", ""plant_number__iexact"": ""0""}"
1630,Nouragues,2012,0,8,0,N15,mat,sapling,0,0.00000,17.940000,0.07060,0.00393634,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N15"", ""plant_number__iexact"": ""0""}"
1631,Nouragues,2012,0,18,0,N1,mat,sapling,0,0.00000,13.060000,0.04110,0.00314593,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N1"", ""plant_number__iexact"": ""0""}"
1632,Nouragues,2012,0,12,0,N1,mat,sapling,0,0.00000,16.940000,0.05610,0.00331258,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N1"", ""plant_number__iexact"": ""0""}"
1633,Nouragues,2012,0,16,0,N1,mat,sapling,0,0.00000,18.100000,0.05840,0.00322710,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N1"", ""plant_number__iexact"": ""0""}"
1634,Nouragues,2012,0,24,0,N17,mat,sapling,0,0.00000,15.100000,0.07010,0.00464339,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N17"", ""plant_number__iexact"": ""0""}"
1635,Nouragues,2012,0,19,0,N18,mat,sapling,0,0.00000,7.450000,0.03830,0.00513984,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N18"", ""plant_number__iexact"": ""0""}"
1636,Nouragues,2012,0,19,0,N18,mat,sapling,0,0.00000,8.000000,0.03900,0.00487501,,2017-05-11 17:23:52+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""N18"", ""plant_number__iexact"": ""0""}"
