id,site,year,plant_field,species_code,toughness1,toughness2,toughness3,toughness4,toughness5,toughness6,toughness7,toughness,notes,max_toughness,updated,error message
871,Tiputini,2014,1320,T57,260,230,270,0,0,0,0,250.0000,notes: id could be T86,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T57"", ""plant_number__iexact"": ""1320""}"
886,Tiputini,2014,362,T10,340,365,300,380,370,0,0,351.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T10"", ""plant_number__iexact"": ""362""}"
887,Tiputini,2014,1431,T65,180,290,240,0,0,0,0,237.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""T65"", ""plant_number__iexact"": ""1431""}"
889,BCI,2014,4989,IngC,290,305,240,210,0,0,0,261.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngC"", ""plant_number__iexact"": ""4989""}"
898,BCI,2014,0,IngV,180,160,180,0,0,0,0,173.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngV"", ""plant_number__iexact"": ""0""}"
899,BCI,2014,0,IngG,250,225,300,250,200,170,250,235.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngG"", ""plant_number__iexact"": ""0""}"
900,BCI,2014,0,IngV,205,240,230,0,0,0,0,225.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngV"", ""plant_number__iexact"": ""0""}"
901,BCI,2014,0,IngV,100,120,125,0,0,0,0,115.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngV"", ""plant_number__iexact"": ""0""}"
902,BCI,2014,0,IngP,220,160,160,150,0,0,0,173.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngP"", ""plant_number__iexact"": ""0""}"
903,BCI,2014,0,IngQ,280,150,195,215,0,0,0,210.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngQ"", ""plant_number__iexact"": ""0""}"
904,BCI,2014,0,IngQ,305,350,220,280,320,0,0,295.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngQ"", ""plant_number__iexact"": ""0""}"
905,BCI,2014,0,IngV,140,130,140,0,0,0,0,137.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngV"", ""plant_number__iexact"": ""0""}"
906,BCI,2014,0,IngC,190,180,170,0,0,0,0,180.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngC"", ""plant_number__iexact"": ""0""}"
907,BCI,2014,0,IngV,190,190,230,0,0,0,0,203.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngV"", ""plant_number__iexact"": ""0""}"
908,BCI,2014,0,IngA,200,150,130,125,0,0,0,151.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngA"", ""plant_number__iexact"": ""0""}"
909,BCI,2014,0,IngG,210,200,205,0,0,0,0,205.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngG"", ""plant_number__iexact"": ""0""}"
910,BCI,2014,0,IngA,145,130,155,0,0,0,0,143.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngA"", ""plant_number__iexact"": ""0""}"
911,BCI,2014,0,IngA,150,100,140,0,0,0,0,130.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngA"", ""plant_number__iexact"": ""0""}"
912,BCI,2014,0,IngA,120,150,140,0,0,0,0,137.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngA"", ""plant_number__iexact"": ""0""}"
913,BCI,2014,0,IngA,190,220,150,0,0,0,0,187.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngA"", ""plant_number__iexact"": ""0""}"
914,BCI,2014,0,IngM,180,220,250,250,0,0,0,225.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngM"", ""plant_number__iexact"": ""0""}"
915,BCI,2014,0,IngM,270,260,270,0,0,0,0,267.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngM"", ""plant_number__iexact"": ""0""}"
916,BCI,2014,0,IngM,310,230,170,170,0,0,0,220.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngM"", ""plant_number__iexact"": ""0""}"
917,BCI,2014,0,IngM,190,235,270,150,0,0,0,211.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngM"", ""plant_number__iexact"": ""0""}"
918,BCI,2014,0,IngA,140,130,180,0,0,0,0,150.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngA"", ""plant_number__iexact"": ""0""}"
919,BCI,2014,0,IngG,340,300,220,220,260,180,0,253.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngG"", ""plant_number__iexact"": ""0""}"
920,BCI,2014,0,IngS,250,290,290,0,0,0,0,277.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngS"", ""plant_number__iexact"": ""0""}"
921,BCI,2014,0,IngG,280,300,390,290,340,330,0,322.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngG"", ""plant_number__iexact"": ""0""}"
922,BCI,2014,0,IngQ,350,320,280,0,0,0,0,317.0000,,0,2015-07-23 15:31:29+00:00,"Plant could not be found matching {""species_code__species_code__iexact"": ""IngQ"", ""plant_number__iexact"": ""0""}"
