id,extraction_number,percent_tyrosine,link_to_file,calibration_number,month,day,year,notes,updated,error message
201,1750,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:02+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1750""}"
401,1751,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:24+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1751""}"
402,1752,5.55%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:27+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1752""}"
403,1753,9.07%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:29+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1753""}"
404,1754,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:30+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1754""}"
405,1755,10.64%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:33+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1755""}"
406,1756,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:35+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1756""}"
407,1757,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:37+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1757""}"
408,1758,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:39+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1758""}"
409,1759,10.36%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:41+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1759""}"
877,2017,11.06%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2017""}"
964,2018,7.66%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,"Keep, duplicate extraction",2017-01-20 15:55:39+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2018""}"
965,2019,3.78%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,"Keep, duplicate extraction",2017-01-20 15:56:19+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2019""}"
966,2020,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2020""}"
967,2021,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2021""}"
968,2022,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2022""}"
969,2023,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2023""}"
970,2024,10.70%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2024""}"
971,2025,9.89%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2025""}"
972,2026,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2026""}"
973,2027,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2027""}"
974,2028,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2028""}"
975,2029,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2029""}"
976,2030,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2030""}"
977,2031,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,"Keep, duplicate extraction",2017-01-20 15:58:26+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2031""}"
978,2032,7.15%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2032""}"
979,2033,8.40%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2033""}"
980,2034,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2034""}"
