id,diva_field,file_name,year,month,day,mode,sample_type,sample_id,en_field,chem_field,plant_field,species_code,tune_page,project_name,ms_method,uplc_method,ms_mode,asoc_blank,asoc_rti,rti_pass,notes,all_inga,chemocoding,raw_check,mzxml,updated,error message
1961,DN1928,DN1928,2016,Apr,14,Negative,Sample,EN1928,1928,cLEG807,10101,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,,,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1928""}"
1962,DN1929,DN1929,2016,Apr,14,Negative,Sample,EN1929,1929,cLEG780,10080,IngV,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_345,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1929""}"
1963,DN1930,DN1930,2016,Apr,14,Negative,Sample,EN1930,1930,cLEG796,10091,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_345,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1930""}"
1964,DN1931,DN1931,2016,Apr,14,Negative,Sample,EN1931,1931,cLEG1002,10101,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_345,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1931""}"
1965,DN1932,DN1932,2016,Apr,14,Negative,Sample,EN1932,1932,cLEG893,,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_345,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1932""}"
1966,DN1933,DN1933,2016,Apr,14,Negative,Sample,EN1933,1933,cLEG795,10091,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_345,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1933""}"
1967,DN1934,DN1934,2016,Apr,14,Negative,Sample,EN1934,1934,cLEG894,,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_345,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1934""}"
1968,DN1935,DN1935,2016,Apr,14,Negative,Sample,EN1935,1935,cLEG1035,10118,IngSp,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_345,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1935""}"
1969,DN1936,DN1936,2016,Apr,14,Negative,Sample,EN1936,1936,cLEG833,10118,IngSP,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_345,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1936""}"
1970,DN1937,DN1937,2016,Apr,14,Negative,Sample,EN1937,1937,cLEG1007,10118,IngSp,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_345,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1937""}"
1972,DN1938,DN1938,2016,Apr,14,Negative,Sample,EN1938,1938,cLEG1032,1912,IngS,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1938""}"
1973,DN1939,DN1939,2016,Apr,14,Negative,Sample,EN1939,1939,cLEG1038,10080,IngV,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1939""}"
1974,DN1940,DN1940,2016,Apr,14,Negative,Sample,EN1940,1940,cLEG1031,10091,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:20+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1940""}"
1975,DN1941,DN1941,2016,Apr,14,Negative,Sample,EN1941,1941,cLEG1000,9055,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1941""}"
1976,DN1942,DN1942,2016,Apr,14,Negative,Sample,EN1942,1942,cLEG897,,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1942""}"
1977,DN1943,DN1943,2016,Apr,14,Negative,Sample,EN1943,1943,cLEG896,,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1943""}"
1978,DN2133,DN2133,2016,Apr,14,Negative,Sample,EN2133,2133,cFG912,,N1,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2133""}"
1979,DN2134,DN2134,2016,Apr,14,Negative,Sample,EN2134,2134,cFG710,,N34,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2134""}"
1980,DN2135,DN2135,2016,Apr,14,Negative,Sample,EN2135,2135,cLEG839,,ZYGL,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2135""}"
