id,motu,analysis,voucher,sequence,la_motu,blasting_family,blasting_subfamily,blasting_genus,percentage,bin,notes_on_host,notes,updated,error message
1,MOTU0012,All_inga_trimmed_21bp,BCI_h513,BCI_h513_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
2,MOTU0295,All_inga_trimmed_21bp,BCI_h515,BCI_h515_coi,,Riodinidae,Riodininae,Nymphidium mantus,100,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAK4282,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0295""}"
3,MOTU0012,All_inga_trimmed_21bp,BCI_h516,BCI_h516_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
4,MOTU0012,All_inga_trimmed_21bp,BCI_h517,BCI_h517_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
5,MOTU0012,All_inga_trimmed_21bp,BCI_h518,BCI_h518_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
6,MOTU0300,All_inga_trimmed_21bp,BCI_h519,BCI_h519_coi,,Gracillaridae,,,94,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAM6879,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0300""}"
7,MOTU0012,All_inga_trimmed_21bp,BCI_h520,BCI_h520_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
8,MOTU0012,All_inga_trimmed_21bp,BCI_h521,BCI_h521_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
9,MOTU0023,All_inga_trimmed_21bp,BCI_h522,BCI_h522_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
10,MOTU0012,All_inga_trimmed_21bp,BCI_h523,BCI_h523_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
11,MOTU0012,All_inga_trimmed_21bp,BCI_h524,BCI_h524_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
12,MOTU0012,All_inga_trimmed_21bp,BCI_h525,BCI_h525_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
